,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold .9,EID 1,EID 2,EID 3,EID 4,EID 5,EID 6,EID 7,EID 8,EID 9,EID 10,EID 11,EID 12,EID 13,EID 14,EID 15,EID 16,EID 17,EID 18,EID 19,EID 20,EID 21,EID 22,EID 23,EID 24,EID 25,EID 26,,,
Modes,2,27,1,0,0,1,139,3,0,103,170,3,1,0,2,0,55,60,0,0,0,2,0,0,1,3,,,
Events trained,52405,98872,523955,0,0,12,9420347,268,0,12076092,739596,12399276,4302057,6,2366,0,72459,119802,0,0,0,29086,0,0,51,595428,,,
Dissmilarity rate,0.00382%,0.02731%,0.00019%,0.00000%,0.00000%,8.33333%,0.00148%,1.11940%,0.00000%,0.00085%,0.02299%,0.00002%,0.00002%,0.00000%,0.08453%,0.00000%,0.07590%,0.05008%,0.00000%,0.00000%,0.00000%,0.00688%,0.00000%,0.00000%,1.96078%,0.00050%,,,
Sysmon Simulator,Success,Success,Success,No test,No test,No test,Success,Success,No test,Success,Success,Failed,Failed,No test,Success,Success,Failed,Success,No test,No test,No test,Failed,No test,No test,Success,Success,,,
Sensitivity,0.5,0.037037037,1,,,1,0.007194245,0.333333333,,0.009708738,0.005882353,0.333333333,1,,0.5,,0.018181818,0.016666667,,,,0.5,,,1,0.333333333,,,
Specificity,0.999980918,0.999989886,0.999998091,,,0.923076923,0.999999894,0.996282528,,0.999999917,0.999998648,0.999999919,0.999999768,,0.999577524,0,0.999986199,0.999991653,,,,0.99996562,,,0.980769231,0.999998321,,,
Notes,"Threshold is likely too low, resulting in low sensitivity and high Specificity",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
